((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
((1, 'blog1', 'blog1_tagline'), (2, 'blog2', 'blog2_tagline'), (3, 'blog3', 'blog3_tagline'))
